,,,,,,,,,,,,,,
Group ID,Date,Start Time,Group Size,Language,Region,Age Range,Length,Amplification,# Galleries Visited,# Works Stopped At,Tour Company,Tour Guide Contact Information,,
9,2/6/2025,13:28,15,Chinese,China,10-60,2:02:54,Yes,14,29,,,,
Lap #,Visit Time,Dwell/Travel Time,Travel/Dwell,Object,X Location,Y Location,Floor,Tags,Notes,,,,,
1,,0:00:32,T,,,,,,,,,,,
2,,0:10:15,D,(Stairwell Platform),1238,537,1,,stop in alcove next to stairs,,,,,
3,,0:00:39,T,,,,,,,,,,,
4,,0:18:41,D,(Disperse R33),,,,SP,split into china,,,,,
5,,0:00:00,D,,,,,,,,,,,
6,,0:00:50,D,Amitabha Buddha,1302,407,1,,,,,,,
7,,0:01:05,T,,,,,,,,,,,
8,,0:00:00,D,331,1234,197,1,Eng,"photos, group wrapping around whole case of item",,,,,
9,,0:00:16,T,,,,,,,,,,,
10,,0:02:56,D,Northern Song Ru Wares,1199,182,1,,,,,,,
11,,0:00:03,T,,,,,,,,,,,
12,,0:01:51,D,Yuan and early Ming jingdezhen,1181,172,1,,,,,,,
13,,0:00:03,T,,,,,,,,,,,
14,,0:01:33,D,Two flasks with dragons,1156,162,1,,,,,,,
15,,0:00:05,T,,,,,,,,,,,
16,,0:02:19,D,chenghua doucai,1141,171,1,Eng SP,people taking photos at previous item,,,,,
17,,0:00:04,T,,,,,,,,,,,
18,,0:01:26,D,Qing wucai porcelains,1118,187,1,Eng,photos,,,,,
19,,0:00:05,T,,,,,,,,,,,
20,,0:01:58,D,334,1118,166,1,,,,,,,
21,,0:00:04,T,,,,,,,,,,,
22,,0:01:30,D,Qing falangcai porcelains,1128,155,1,,,,,,,
23,,0:00:26,T,,,,,,,,,,,
24,,0:01:31,D,Jun wares,1145,196,1,,,,,,,
25,,0:00:10,T,,,,,,,,,,,
26,,0:01:43,D,Longquan green-glazed wares,1184,195,1,,,,,,,
27,,0:00:23,T,,,,,,,,,,,
28,,0:00:10,T,,,,,,,,,,,
29,,0:00:53,T,,,,,,,,,,,
30,,0:00:37,D,(Directions to group),1119,726,2,ST,slowing traffic going into egypt,,,,,
31,,0:00:00,D,,,,,,,,,,,
32,,0:06:44,D,"(Disperse R63, 4, 2)",,,,SP Eng,"split up into egypt rooms, guide waited in mesopotamia and talked to some members",,,,,
33,,0:00:02,D,,,,,,,,,,,
34,,0:05:12,D,,,,,,,,,,,
35,,0:00:15,T,,,,,SP,family stopped to take photos,,,,,
36,,0:03:03,D,Reading Room,1311,1193,1,Eng,"photos, group spread out in room",,,,,
37,,0:00:00,D,,,,,,,,,,,
38,,0:00:27,D,,,,,,guide waited outside for group members to come out of library,,,,,
39,,0:00:14,T,,,,,,,,,,,
40,,0:00:50,D,(regroup),1333,1277,1,,,,,,,
41,,0:01:44,T,,,,,,,,,,,
42,,0:01:52,D,204,1113,1133,1,,"group trying to see stone from front, being blocked by  crowd",,,,,
43,,0:00:19,T,,,,,,,,,,,
44,,0:02:47,D,218,998,1173,1,,,,,,,
45,,0:00:23,T,,,,,,,,,,,
46,,0:00:20,D,218,1014,1197,1,,"in middle of doorway, nobody tried to pass through",,,,,
47,,0:00:27,T,,,,,,,,,,,
48,,0:01:41,D,213,1031,1286,1,Eng,photos,,,,,
49,,0:00:12,T,,,,,,,,,,,
50,,0:00:16,D,213,1031,1340,1,,,,,,,
51,,0:00:01,D,,,,,,,,,,,
52,,0:00:37,D,213,,,,,,,,,,
53,,0:00:27,T,,,,,,,,,,,
54,,0:00:46,D,214,934,1413,1,Eng SP,"photos, couple people went to sit down",,,,,
55,,0:00:11,T,,,,,,,,,,,
56,,0:01:15,D,214 (projected video),896,1367,1,,,,,,,
57,,0:00:31,T,,,,,,,,,,,
58,,0:01:31,D,214,921,1347,1,,,,,,,
59,,0:00:42,T,,,,,,,,,,,
60,,0:00:35,D,216,917,1225,1,,,,,,,
61,,0:00:51,T,,,,,,,,,,,
62,,0:00:42,D,(The parthenon),800,1116,1,,,,,,,
63,,0:00:06,T,,,,,SP,couple people left behind,,,,,
64,,0:03:03,D,Tactile model of Parthenon,786,1075,1,,,,,,,
65,,0:00:44,T,,,,,,,,,,,
66,,0:00:34,D,Elgin Marbles,745,1096,1,,,,,,,
67,,0:00:54,T,,,,,,,,,,,
68,,0:01:51,D,East Pediment,703,979,1,,,,,,,
69,,0:00:11,T,,,,,,,,,,,
70,,0:00:32,D,East Pediment,701,947,1,,,,,,,
71,,0:00:38,T,,,,,,wrapping around pediment sculptures,,,,,
72,,0:01:09,D,East Pediment,757,971,1,,,,,,,
73,,0:00:04,T,,,,,,,,,,,
74,,0:01:17,D,Metopes,796,988,1,,,,,,,
75,,0:00:45,T,,,,,,,,,,,
76,,0:00:58,D,Elgin Marbles,722,1142,1,,,,,,,
77,,0:00:27,T,,,,,,,,,,,
78,,0:03:01,D,242,850,1171,1,,many sat down here,,,,,
79,,0:00:37,T,,,,,,,,,,,
80,,0:02:04,D,243,935,1112,1,DT,creating blockage on one side of room,,,,,
81,,0:00:00,T,,,,,,,,,,,
82,,0:00:51,D,Marble Statue of Apollo Holding a Kithara,935,1112,1,,,,,,,
83,,0:00:15,T,,,,,,,,,,,
84,,0:00:26,D,Venus,962,1131,1,,,,,,,
85,,0:00:22,T,,,,,,,,,,,
86,,0:01:10,D,General Horemheb and Wife,1064,1097,1,B,blocking view for other tour group,,,,,
87,,0:00:20,T,,,,,,,,,,,
88,,0:03:12,D,203,1084,1068,1,Eng ST,photos,,,,,
89,,0:00:27,T,,,,,,,,,,,
90,,0:00:44,D,202,1111,1027,1,,,,,,,
91,,0:00:40,T,,,,,,,,,,,
92,,0:01:13,D,201,1085,928,1,SP,one person went to take pcitures of other objects around,,,,,
93,,0:00:04,T,,,,,,,,,,,
94,,0:01:03,D,Female Sphinx,1105,895,1,,,,,,,
95,,0:01:49,T,,,,,,,,,,,
96,,0:00:04,T,,,,,,,,,,,
97,,0:00:38,T,,,,,,,,,,,
98,,,,,,,,,"group returned headsets, people split up to do as they wish",,,,,
99,,,,,,,,,,,,,,
