,,,,,,,,,,,,
Group ID,Date,Start Time,Group Size,Language,Region,Age Range,Length,Amplification,# Galleries Visited,# Works Stopped At,Tour Company,Tour Guide Contact Information
14,2/15/2025,13:15,20,Chinese,,10-60,1:40:31,yes,29,18,,
Lap #,Visit Time,Dwell/Travel Time,Travel/Dwell,Object,X Location,Y Location,Floor,Tags,Notes,,,
1,,0:01:21,T,,,,,,,,,
2,,0:01:03,D,162 (back),1321,789,1,,,,,
3,,0:00:07,T,,,,,,,,,
4,,0:02:31,D,162 (front),1391,829,1,,moved from back to front of item,,,
5,,0:01:53,T,,,,,,,,,
6,,0:02:30,D,Lintel 24,1569,740,1,SP,couple of people broke off to look at rest of room,,,
7,,0:00:02,T,,,,,,,,,
8,,0:01:03,D,Lintel 25,1580,740,1,SP,people still broken off,,,
9,,0:01:27,T,,,,,,,,,
10,,0:00:35,D,Plaster Casts from Egypt,1601,839,1,ST,somewhat in way of people going up stairs,,,
11,,0:01:18,T,,,,,,,,,
12,,0:03:35,D,343,1373,749,2,,,,,
13,,0:00:46,T,,,,,,,,,
14,,0:00:35,D,352,1248,759,2,,,,,
15,,0:00:00,T,,,,,,,,,
16,,0:07:51,D,"(dispersed 64, 63, 62, 61, 73)",,,,SP,"into egypt, some went into room 73",,,
17,,0:01:31,T,,,,,Eng,observing artifacts while walking,,,
18,,0:03:04,D,542,867,1261,2,,,,,
19,,0:03:11,T,,,,,Eng,observing artifacts while walking,,,
20,,0:00:40,D,502,1308,1486,2,,,,,
21,,0:00:29,T,,,,,,,,,
22,,0:02:31,D,465,1360,1485,2,,,,,
23,,0:00:46,T,,,,,Eng,observing artifacts while walking,,,
24,,0:00:14,T,,,,,,,,,
25,,0:00:26,T,,,,,,,,,
26,,0:01:28,D,453,1401,1309,2,ST,creating slight blockage,,,
27,,0:05:09,T,,,,,,,,,
28,,0:00:23,D,(regroup),1375,861,1,,,,,
29,,0:02:28,T,,,,,,,,,
30,,0:01:51,D,203,1110,1030,1,Eng,photos,,,
31,,0:00:39,T,,,,,,,,,
32,,0:00:46,D,204,1095,1175,1,B,part of large amount of people in front of stone,,,
33,,0:00:37,T,,,,,,,,,
34,,0:01:38,D,216,936,1190,1,ST,in the midldle of entrance,,,
35,,0:00:56,T,,,,,,,,,
36,,0:02:18,D,214,895,1360,1,,,,,
37,,0:00:24,T,,,,,,,,,
38,,0:00:45,D,215,972,1307,1,,,,,
39,,0:00:04,T,,,,,,,,,
40,,0:00:01,T,,,,,,,,,
41,,0:01:30,T,,,,,,,,,
42,,0:03:39,D,Tactile model of Parthenon,788,1075,1,Eng,photos,,,
43,,0:02:14,T,,,,,,,,,
44,,0:02:00,D,Elgin Marbles,709,1141,1,,,,,
45,,0:00:39,T,,,,,,,,,
46,,0:01:35,D,Metopes,647,986,1,SP,one went to sit down,,,
47,,0:02:19,T,,,,,,,,,
48,,0:01:24,D,East Pediment,772,964,1,,,,,
49,,0:03:05,T,,,,,,,,,
50,,0:21:44,D,(Waiting for bus?),1141,1329,1,SP,"restroom/gift shop stop, a break before the group left",,,
51,,0:01:26,T,,,,,,,,,
52,,,,,,,,,,,,
53,,,,,,,,,,,,
54,,,,,,,,,,,,
55,,,,,,,,,,,,
56,,,,,,,,,,,,
57,,,,,,,,,,,,
58,,,,,,,,,,,,
59,,,,,,,,,,,,
60,,,,,,,,,,,,
61,,,,,,,,,,,,
62,,,,,,,,,,,,
63,,,,,,,,,,,,
64,,,,,,,,,,,,
65,,,,,,,,,,,,
66,,,,,,,,,,,,
67,,,,,,,,,,,,
68,,,,,,,,,,,,
69,,,,,,,,,,,,
70,,,,,,,,,,,,
71,,,,,,,,,,,,
72,,,,,,,,,,,,
73,,,,,,,,,,,,
74,,,,,,,,,,,,
75,,,,,,,,,,,,
76,,,,,,,,,,,,
77,,,,,,,,,,,,
78,,,,,,,,,,,,
79,,,,,,,,,,,,
80,,,,,,,,,,,,
81,,,,,,,,,,,,
82,,,,,,,,,,,,
83,,,,,,,,,,,,
84,,,,,,,,,,,,
85,,,,,,,,,,,,
86,,,,,,,,,,,,
87,,,,,,,,,,,,
88,,,,,,,,,,,,
89,,,,,,,,,,,,
90,,,,,,,,,,,,
91,,,,,,,,,,,,
92,,,,,,,,,,,,
93,,,,,,,,,,,,
94,,,,,,,,,,,,
95,,,,,,,,,,,,
96,,,,,,,,,,,,
97,,,,,,,,,,,,
98,,,,,,,,,,,,
99,,,,,,,,,,,,
