,,,,,,,,,,,,
Group ID,Date,Start Time,Group Size,Language,Region,Age Range,Length,Amplification,# Galleries Visited,# Works Stopped At,Tour Company,Tour Guide Contact Information
11,11/2/2025,10:13,20,Spanish,,1-55,2:31:27,No,15,19,,
Lap #,Visit Time,Dwell/Travel Time,Travel/Dwell,Object,X Location,Y Location,Floor,Tags,Notes,,,
1,0:00:45,0:00:45,T ,,,,,,"Mostly Adults; we are answering a lot of visitor questions while we're waiting for tour groups—should the docents move to better locations, or are we just intercepting questions?",,,
2,0:06:47,0:06:02,D,(Introduction),1278,649,1,,,,,
3,0:07:28,0:00:41,T ,,,,,,Introduced ourselves,,,
4,0:12:11,0:04:43,D,(Introduction),1486,915,1,,,,,
5,0:13:36,0:01:25,T ,,,,,,,,,
6,0:16:08,0:02:32,D,(Great Court),1334,1341,1,,Group stopped by someone taking a picture at Great Court who had to move,,,
7,0:17:14,0:01:06,T ,,,,,,,,,
8,0:18:13,0:00:59,D,Reading Room,1336,1192,1,SP,Walked into RR to observe without talking,,,
9,0:18:30,0:00:17,T ,,,,,,,,,
10,0:21:35,0:03:04,D,(Regroup/Introduction),1312,1298,1,,Seems to be talking about Egypt before going upstairs,,,
11,0:24:02,0:02:27,T ,,,,,,,,,
12,0:30:21,0:06:19,D,392,1094,822,2,B,"Someone left to take a phone call, ringer on",,,
13,0:30:45,0:00:25,T ,,,,,,,,,
14,0:34:10,0:03:25,D,393,1179,856,2,,Group is crowding around back to let others look at the front,,,
15,0:34:15,0:00:05,T ,,,,,,,,,
16,0:38:57,0:04:43,D,395,1196,858,2,B,,,,
17,0:39:16,0:00:18,T ,,,,,,,,,
18,0:41:54,0:02:38,D,393,1179,856,2,ST B,Security told them to pack in,,,
19,0:42:28,0:00:34,T ,,,,,,,,,
20,0:46:57,0:04:30,D,404,1279,858,2,B,,,,
21,0:47:47,0:00:49,T ,,,,,,,,,
22,0:50:05,0:02:19,D,(Egypt Introduction),1317,789,2,,"Loud in this room, by a lot of school groups; guide has to yell",,,
23,0:50:14,0:00:08,T ,,,,,,,,,
24,1:00:03,0:09:49,D,352,1264,788,2,ST B DENG,,,,
25,1:00:12,0:00:10,T ,,,,,,,,,
26,1:15:39,0:15:27,D,(Split),,,2,SP,Through Egypt; guide suggested to us that teachers should calm down their students,,,
27,1:15:39,0:00:00,T ,,,,,,,,,
28,1:16:37,0:00:58,D,(Attendance),876,815,2,,Guide taking attendance,,,
29,1:18:27,0:01:50,T ,,,,,ST,Slow getting thru door,,,
30,1:23:59,0:05:32,D,201,1077,884,1,B,Some school groups trying to look but can't,,,
31,1:25:05,0:01:06,T ,,,,,,,,,
32,1:34:22,0:09:17,D,203,1081,1065,1,,Some members sitting down,,,
33,1:34:45,0:00:23,T ,,,,,,,,,
34,1:38:27,0:03:42,D,204,1096,1134,1,B DT ST,,,,
35,1:38:28,0:00:01,T ,,,,,,,,,
36,1:40:47,0:02:19,D,204,1059,1174,1,,,,,
37,1:41:20,0:00:33,T ,,,,,,,,,
38,1:50:50,0:09:30,D,Lesser Podium Frieze,835,1165,1,,,,,
39,1:51:14,0:00:24,T ,,,,,,,,,
40,1:55:57,0:04:43,D,242,858,1092,1,ENG,Guide talking with audience,,,
41,1:57:02,0:01:05,T ,,,,,,,,,
42,1:57:02,0:00:00,D,Tactile Model of Parthenon,783,1070,1,ST B ENG,Group looking inside Parthenon model,,,
43,2:01:07,0:04:05,D,,,,,,,,,
44,2:01:40,0:00:33,D,,,,,,,,,
45,2:01:56,0:00:16,T ,,,,,,,,,
46,2:08:36,0:06:40,D,Elgin Marbles,704,1084,1,ENG,"Q&A, laughter",,,
47,2:09:11,0:00:35,T ,,,,,,,,,
48,2:13:48,0:04:37,D,East Pediment,699,988,1,B DT,Some visitors waited until group moved to look,,,
49,2:13:49,0:00:01,T ,,,,,,,,,
50,2:16:11,0:02:22,D,Metopes,641,978,1,ST DT,,,,
51,2:17:31,0:01:20,T ,,,,,,,,,
52,2:20:42,0:03:11,D,216,927,1183,1,ST B,,,,
53,2:22:03,0:01:21,T ,,,,,,,,,
54,2:22:40,0:00:37,D,(Regroup),1161,1297,1,,,,,
55,2:23:15,0:00:35,T ,,,,,,,,,
56,2:31:27,0:08:12,D,(Goodbye),1165,1366,1,,,,,
57,,,,,,,,,,,,
58,,,,,,,,,,,,
59,,,,,,,,,,,,
60,,,,,,,,,,,,
61,,,,,,,,,,,,
62,,,,,,,,,,,,
63,,,,,,,,,,,,
64,,,,,,,,,,,,
65,,,,,,,,,,,,
66,,,,,,,,,,,,
67,,,,,,,,,,,,
68,,,,,,,,,,,,
69,,,,,,,,,,,,
70,,,,,,,,,,,,
71,,,,,,,,,,,,
72,,,,,,,,,,,,
73,,,,,,,,,,,,
74,,,,,,,,,,,,
75,,,,,,,,,,,,
76,,,,,,,,,,,,
77,,,,,,,,,,,,
78,,,,,,,,,,,,
79,,,,,,,,,,,,
80,,,,,,,,,,,,
81,,,,,,,,,,,,
82,,,,,,,,,,,,
83,,,,,,,,,,,,
84,,,,,,,,,,,,
85,,,,,,,,,,,,
86,,,,,,,,,,,,
87,,,,,,,,,,,,
88,,,,,,,,,,,,
89,,,,,,,,,,,,
90,,,,,,,,,,,,
91,,,,,,,,,,,,
92,,,,,,,,,,,,
93,,,,,,,,,,,,
94,,,,,,,,,,,,
95,,,,,,,,,,,,
96,,,,,,,,,,,,
97,,,,,,,,,,,,
98,,,,,,,,,,,,
99,,,,,,,,,,,,
