,,,,,,,,,,,,
Group ID,Date,Start Time,Group Size,Language,Region,Age Range,Length,Amplification,# Galleries Visited,# Works Stopped At,Tour Company,Tour Guide Contact Information
13,15/2/2025,10:14,14,Korean,,18-24,0:50:21,Yes,10,15,,
Lap #,Visit Time,Dwell/Travel Time,Travel/Dwell,Object,X Location,Y Location,Floor,Tags,Notes,,,
1,0:01:11,0:01:11,T ,,,,,,,,,
2,0:07:21,0:06:10,D,(Bathroom),1341,651,1,SP ST,bathroom,,,
3,0:08:03,0:00:42,T ,,,,,,,,,
4,0:08:34,0:00:32,D,Amitabha Buddha,1300,408,1,,,,,
5,0:09:47,0:01:12,T ,,,,,,,,,
6,0:11:28,0:01:41,D,Buddhism in Korea,1274,181,1,,,,,
7,0:11:32,0:00:04,T ,,,,,,,,,
8,0:12:13,0:00:41,D,325,1381,182,1,,,,,
9,0:12:24,0:00:12,T ,,,,,,,,,
10,0:12:56,0:00:31,D,Late Josom,1342,163,1,,,,,
11,0:12:57,0:00:01,T ,,,,,,,,,
12,0:13:30,0:00:33,D,322,1289,164,1,,,,,
13,0:14:45,0:01:15,T ,,,,,,,,,
14,0:14:45,0:00:00,D,(Egypt Intro),1115,714,2,,pushed to side,,,
15,0:16:05,0:01:20,T ,,,,,,,,,
16,0:17:53,0:01:48,D,(Egypt Intro),1260,790,2,,,,,
17,0:17:54,0:00:01,T ,,,,,,,,,
18,0:19:15,0:01:21,D,352,1313,790,2,,,,,
19,0:19:17,0:00:02,T ,,,,,,,,,
20,0:21:34,0:02:17,D,Wooden Coffin,1278,761,2,,,,,
21,0:21:34,0:00:00,T ,,,,,,,,,
22,0:22:04,0:00:30,D,(Case 9),1301,744,2,,,,,
23,0:22:04,0:00:00,D,,,,,,,,,
24,0:23:08,0:01:04,D,,,,,,,,,
25,0:23:32,0:00:24,T ,,,,,,,,,
26,0:24:32,0:01:00,D,(Egypt Intro),1219,758,2,,,,,
27,0:25:34,0:01:02,T ,,,,,,,,,
28,0:31:02,0:05:28,D,(Split),,,,,,,,
29,0:31:05,0:00:03,T ,,,,,,,,,
30,0:31:39,0:00:33,D,Mosaic Pavements,811,837,2,ST,,,,
31,0:32:39,0:01:00,T ,,,,,,,,,
32,0:32:41,0:00:02,T,,,,,,,,,
33,0:33:23,0:00:42,T ,,,,,,,,,
34,0:33:57,0:00:34,D,201,1086,881,1,,,,,
35,0:33:58,0:00:02,T ,,,,,,,,,
36,0:34:08,0:00:10,T,,,,,,,,,
37,0:34:33,0:00:25,T ,,,,,,,,,
38,0:36:24,0:01:51,D,Sarcophagus of Nectanebo II,1105,939,1,B ST,,,,
39,0:36:25,0:00:01,T ,,,,,,,,,
40,0:37:21,0:00:56,D,202,1106,970,1,,,,,
41,0:37:22,0:00:01,T ,,,,,,,,,
42,0:38:46,0:01:24,D,203,1081,1020,1,,,,,
43,0:39:09,0:00:23,T ,,,,,,,,,
44,0:43:32,0:04:23,D,203,1054,1070,1,DT,,,,
45,0:43:44,0:00:12,T ,,,,,,,,,
46,0:45:05,0:01:21,D,204,1081,1118,1,,,,,
47,0:46:02,0:00:57,T ,,,,,,,,,
48,0:50:20,0:04:17,D,Elgin Marbles,715,1157,1,,,,,
49,0:50:21,0:00:01,T ,,,,,,,,,
50,0:52:38,0:02:17,D,(End Split),715,1157,1,SP,,,,
51,,,,,,,,,,,,
52,,,,,,,,,,,,
53,,,,,,,,,,,,
54,,,,,,,,,,,,
55,,,,,,,,,,,,
56,,,,,,,,,,,,
57,,,,,,,,,,,,
58,,,,,,,,,,,,
59,,,,,,,,,,,,
60,,,,,,,,,,,,
61,,,,,,,,,,,,
62,,,,,,,,,,,,
63,,,,,,,,,,,,
64,,,,,,,,,,,,
65,,,,,,,,,,,,
66,,,,,,,,,,,,
67,,,,,,,,,,,,
68,,,,,,,,,,,,
69,,,,,,,,,,,,
70,,,,,,,,,,,,
71,,,,,,,,,,,,
72,,,,,,,,,,,,
73,,,,,,,,,,,,
74,,,,,,,,,,,,
75,,,,,,,,,,,,
76,,,,,,,,,,,,
77,,,,,,,,,,,,
78,,,,,,,,,,,,
79,,,,,,,,,,,,
80,,,,,,,,,,,,
81,,,,,,,,,,,,
82,,,,,,,,,,,,
83,,,,,,,,,,,,
84,,,,,,,,,,,,
85,,,,,,,,,,,,
86,,,,,,,,,,,,
87,,,,,,,,,,,,
88,,,,,,,,,,,,
89,,,,,,,,,,,,
90,,,,,,,,,,,,
91,,,,,,,,,,,,
92,,,,,,,,,,,,
93,,,,,,,,,,,,
94,,,,,,,,,,,,
95,,,,,,,,,,,,
96,,,,,,,,,,,,
97,,,,,,,,,,,,
98,,,,,,,,,,,,
99,,,,,,,,,,,,
